,noise,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20
cluster_9,-0.2792271571298985,-0.30143541734695667,0.21827124557281816,-0.005435731063198129,0.6225283092036487,-0.036520464089275825,-0.14400492413604465,0.42091806632720996,0.5352149248149238,-0.3436655108195861,0.99999999985179,0.03813240120349227,0.2909609923614728,-0.015378720332351893,-0.3904958243168706,0.042608678757419506,-0.15463474128584528,0.10246063425820846,0.20578442591899068,0.30064542567646685,-0.27603715565815984,0.1576401643564435
cluster_10,0.31255107433024054,0.4082285856242845,0.2741951742937116,0.1629826134794831,-0.034142883889461406,0.6686734272192025,-0.4777531144960595,-0.15420975078630295,0.07801067224729154,0.02089051321314297,0.03813240120349227,0.9999999999752851,0.26719188768849633,-0.7813732726371194,-0.294501966124564,0.21722407314598438,0.19898630959663482,0.3720653004261529,0.14846747781666092,0.8242257067974964,-0.14057313910608688,0.18531997514192464
cluster_11,0.3313551337407176,0.30674118659996485,-0.16306589139662397,0.4295877088135599,0.03331224439455417,-0.004462016236061289,0.37028946066321305,0.3194058148872922,0.5134089266234989,0.41095271575784764,0.2909609923614728,0.26719188768849633,0.9999999999281093,0.12128830207885145,0.21518442327802842,0.4584941136783342,0.18985735833083656,0.48381063360664045,-0.22793399509058487,0.17084958814565795,-0.10985031781883622,0.7251956855339085
cluster_12,0.06414300007601771,-0.2758291382496124,-0.10269684461171363,0.024897142372296184,0.036422129432362935,-0.5311978812988751,0.7443353736810309,0.252196483164607,-0.02301098837667119,0.14009044198387838,-0.015378720332351893,-0.7813732726371194,0.12128830207885145,0.999999999990855,0.4873664004083491,0.13496549154600704,-0.042997917712688176,-0.19336630219702536,-0.11241647913213561,-0.7135230019263896,0.3948841057400133,0.20155653783131988
cluster_13,0.34712657942272757,-0.09671403145699878,-0.01637721806839889,-0.170422970665418,-0.18375166258714903,-0.09728607557676733,0.5250837526813544,-0.2931837813450897,-0.3394315489445408,0.19127010932895458,-0.3904958243168706,-0.294501966124564,0.21518442327802842,0.4873664004083491,0.9999999999597772,-0.15960367957876628,0.4020832922788826,-0.33538067298120716,0.011026599558080514,-0.41001363775004,0.5923423719232125,0.4777383585050224
cluster_14,0.2867469962666739,0.47096722179160955,-0.05612165105123653,0.6898719873128147,-0.09791799047770798,-0.20529366961281795,0.3034523047399597,0.5061781196075428,0.3693677718242666,0.5538403710933498,0.042608678757419506,0.21722407314598438,0.4584941136783342,0.13496549154600704,-0.15960367957876628,0.9999999999669795,-0.33837870440271556,0.5954258426883469,-0.13357982431260154,0.022025880296323044,-0.2147126339648636,0.3208086095552399
cluster_15,0.31804471270476625,-0.14696175638112444,0.26710939949462614,-0.5285763368712875,0.1413192497133377,0.6586045639463205,-0.01779857469161293,-0.5613650521764606,-0.386993815315442,-0.22823047871460947,-0.15463474128584528,0.19898630959663482,0.18985735833083656,-0.042997917712688176,0.4020832922788826,-0.33837870440271556,0.9999999999712794,-0.44254163259814694,0.20604404970327014,0.12222589418028608,0.36808008597962144,0.26661646172730097
cluster_16,0.12055577113902304,0.6239572376487142,-0.4883219810829478,0.9039513833964654,-0.4311528818746325,-0.1922223263714191,0.1807366907961132,0.3729887619555276,0.6165087161912789,0.6771240212394669,0.10246063425820846,0.3720653004261529,0.48381063360664045,-0.19336630219702536,-0.33538067298120716,0.5954258426883469,-0.44254163259814694,0.9999999999841258,-0.5474471090673235,0.21974780099189342,-0.5349430444407008,0.03833545280121995
cluster_17,0.029213433163412413,-0.4256197821386192,0.854569942213257,-0.41452353296456784,0.6525931671000874,0.39319250916671844,-0.23329131226907476,0.16834407815657548,-0.3629511549197404,-0.7390178602091918,0.20578442591899068,0.14846747781666092,-0.22793399509058487,-0.11241647913213561,0.011026599558080514,-0.13357982431260154,0.20604404970327014,-0.5474471090673235,0.9999999999848471,0.07222998256919226,0.12844536940378143,0.010126466928004792
cluster_18,0.25691648014774665,0.3364571051006467,0.23485423761717822,-0.04509904089621345,0.06332113182663755,0.6010179489849916,-0.5729272316436534,-0.25386907373439127,0.2772421222240593,-0.1235853772181801,0.30064542567646685,0.8242257067974964,0.17084958814565795,-0.7135230019263896,-0.41001363775004,0.022025880296323044,0.12222589418028608,0.21974780099189342,0.07222998256919226,0.9999999999829623,-0.08417739354413835,0.25485173261508787
cluster_19,0.29688161611644154,-0.28329659408983743,0.2794420716441938,-0.5232791391715415,0.04139153275334376,0.1336043655413779,0.16272591210914195,-0.428534298826376,-0.5270321510184864,-0.13256271198898842,-0.27603715565815984,-0.14057313910608688,-0.10985031781883622,0.3948841057400133,0.5923423719232125,-0.2147126339648636,0.36808008597962144,-0.5349430444407008,0.12844536940378143,-0.08417739354413835,0.9999999999828957,0.2701182587614094
cluster_20,0.6290014308860545,0.23361645574519643,0.08043101651716643,0.10829704406950579,0.05450339883924625,0.09762821929983265,0.3738595037181471,0.03373457554555665,0.2831111143999891,0.2821795536047672,0.1576401643564435,0.18531997514192464,0.7251956855339085,0.20155653783131988,0.4777383585050224,0.3208086095552399,0.26661646172730097,0.03833545280121995,0.010126466928004792,0.25485173261508787,0.2701182587614094,0.9999999999212893
