feature,rho,pval,abs_rho,subgroup
q_persp_flirtation,-0.017607642267617355,0.004358182552972116,0.017607642267617355,All treated
q_poly_feature_politeness_==2nd_person_start==,0.01745090971679499,0.004718931398383831,0.01745090971679499,All treated
q_poly_feature_politeness_==HASNEGATIVE==,0.015655495541895367,0.01124886005560926,0.015655495541895367,All treated
q_poly_feature_politeness_==HASPOSITIVE==,0.014742056182895988,0.016988587235481335,0.014742056182895988,All treated
q_has_sig,-0.013921131753669137,0.02419480291630992,0.013921131753669137,All treated
q_is_indented,0.01350823006108444,0.028730767572916184,0.01350823006108444,All treated
q_poly_feature_politeness_==Factuality==,-0.01297324231527897,0.03568206512863902,0.01297324231527897,All treated
q_poly_feature_politeness_==HASHEDGE==,0.010985529155229242,0.07529306727678628,0.010985529155229242,All treated
q_mentions_wp,0.00961830610774478,0.11940024423574916,0.00961830610774478,All treated
q_poly_feature_politeness_==Gratitude==,-0.00884087274038192,0.15231077618057068,0.00884087274038192,All treated
q_persp_identity_attack,-0.008729463472234963,0.15754460615712457,0.008729463472234963,All treated
q_mentions_help,0.007350143220118768,0.23402785586782962,0.007350143220118768,All treated
q_poly_feature_politeness_==Indirect_(btw)==,-0.006030816903477931,0.3288497683697813,0.006030816903477931,All treated
q_persp_profanity,-0.004818905967179364,0.4352651980586554,0.004818905967179364,All treated
q_poly_feature_politeness_==Hedges==,-0.0028100566879831505,0.6491340751386143,0.0028100566879831505,All treated
q_has_unsigned,0.002052112557753465,0.7397009817194816,0.002052112557753465,All treated
q_poly_feature_politeness_==Please_start==,0.0018020780042887479,0.7704646372421068,0.0018020780042887479,All treated
q_poly_feature_politeness_==Indirect_(greeting)==,0.001657474761165441,0.7884260569068658,0.001657474761165441,All treated
q_body_char_len,0.4071572403199506,0.0,0.4071572403199506,Technical
q_body_word_count,0.3800351855256487,0.0,0.3800351855256487,Technical
q_vader_neg,0.2651372701882789,3.082612105325382e-203,0.2651372701882789,Technical
q_tb_subjectivity,0.25046332865169757,7.188237416236088e-181,0.25046332865169757,Technical
q_poly_feature_politeness_==2nd_person==,0.19986729321164892,1.4708948718662832e-114,0.19986729321164892,Technical
q_poly_feature_politeness_==Gratitude==,0.18364856405018623,1.0162499591978496e-96,0.18364856405018623,Technical
q_poly_feature_politeness_==SUBJUNCTIVE==,0.1723771524609014,2.8781797807555073e-85,0.1723771524609014,Technical
q_poly_feature_politeness_==Indirect_(greeting)==,0.14639744217716555,9.096497391356961e-62,0.14639744217716555,Technical
q_poly_feature_politeness_==Factuality==,0.1424388882631271,1.547976249515588e-58,0.1424388882631271,Technical
q_poly_feature_politeness_==Direct_question==,0.13670183483201553,5.1274377913158904e-54,0.13670183483201553,Technical
q_has_url,0.129237799871796,2.016577509069874e-48,0.129237799871796,Technical
q_vader_compound,0.12585135018103724,5.454770039099935e-46,0.12585135018103724,Technical
q_poly_feature_politeness_==HASHEDGE==,0.10967251153230972,2.8097331921524926e-35,0.10967251153230972,Technical
q_persp_sexually_explicit,-0.09415319063006018,2.1186366062456562e-26,0.09415319063006018,Technical
q_tb_polarity,0.0886950469953409,1.3364058563828275e-23,0.0886950469953409,Technical
q_link_count,0.0880104308534582,2.919804094083453e-23,0.0880104308534582,Technical
q_poly_feature_politeness_==Hedges==,0.08753789698400591,4.9899432260830647e-23,0.08753789698400591,Technical
q_poly_feature_politeness_==HASPOSITIVE==,0.08545957356920968,5.092674612515422e-22,0.08545957356920968,Technical
q_vader_neu,-0.0849373332400177,9.05021800920877e-22,0.0849373332400177,Technical
q_poly_feature_politeness_==Deference==,0.07192582700430562,4.882542071010298e-16,0.07192582700430562,Technical
q_persp_severe_toxicity,-0.07110836910995647,1.0409950299845232e-15,0.07110836910995647,Technical
q_poly_feature_politeness_==1st_person==,-0.06972754959229144,3.66838571395551e-15,0.06972754959229144,Technical
q_poly_feature_politeness_==Apologizing==,0.06795862798951391,1.7778539612416502e-14,0.06795862798951391,Technical
q_poly_feature_politeness_==1st_person_start==,-0.05439280636099667,8.625304578953165e-10,0.05439280636099667,Technical
q_persp_threat,-0.05430880289451225,9.155047689224663e-10,0.05430880289451225,Technical
q_persp_insult,0.04499089997926175,3.9430460351957075e-07,0.04499089997926175,Technical
q_poly_feature_politeness_==1st_person_pl.==,0.04412291568908354,6.56715452846702e-07,0.04412291568908354,Technical
q_poly_feature_politeness_==HASNEGATIVE==,0.04167240455854843,2.6366848935342053e-06,0.04167240455854843,Technical
q_template_count,0.03998825918475686,6.566558425652383e-06,0.03998825918475686,Technical
q_persp_profanity,-0.03834705854186741,1.545176272019092e-05,0.03834705854186741,Technical
q_poly_feature_politeness_==INDICATIVE==,0.0360368197593774,4.874107948993264e-05,0.0360368197593774,Technical
q_mentions_help,0.029045740741204494,0.0010631070775165025,0.029045740741204494,Technical
q_poly_feature_politeness_==Indirect_(btw)==,0.02690400595242874,0.002430843950146124,0.02690400595242874,Technical
q_persp_identity_attack,0.025153996412110746,0.004589084955858544,0.025153996412110746,Technical
q_is_indented,0.024639560822315984,0.005493789063489054,0.024639560822315984,Technical
q_poly_feature_politeness_==Please_start==,-0.024222141094976734,0.006342930225756103,0.024222141094976734,Technical
q_vader_pos,0.02209410531542814,0.01278711467348463,0.02209410531542814,Technical
q_poly_feature_politeness_==2nd_person_start==,0.02001868758950919,0.02408760906071397,0.02001868758950919,Technical
q_has_sig,-0.015539456430318812,0.07995723225082815,0.015539456430318812,Technical
q_mentions_wp,0.014999878344040797,0.09100319275686669,0.014999878344040797,Technical
q_poly_feature_politeness_==Direct_start==,0.01470463564055839,0.09754798875203864,0.01470463564055839,Technical
q_persp_flirtation,-0.013910588265968726,0.11702589011826293,0.013910588265968726,Technical
q_persp_toxicity,-0.00360273966742127,0.6848002553949313,0.00360273966742127,Technical
q_poly_feature_politeness_==Please==,-0.002254830491001948,0.7994555512959672,0.002254830491001948,Technical
q_poly_feature_politeness_==2nd_person==,0.31408239254287545,1.6682623926262742e-81,0.31408239254287545,Referent (Q2)
q_body_char_len,0.2879322428144735,3.1504513745323396e-68,0.2879322428144735,Referent (Q2)
q_body_word_count,0.2875540825381581,4.790175580147819e-68,0.2875540825381581,Referent (Q2)
q_vader_pos,-0.2537202525893347,7.047612556664819e-53,0.2537202525893347,Referent (Q2)
q_poly_feature_politeness_==Indirect_(greeting)==,0.24083784535922068,1.1459317138815264e-47,0.24083784535922068,Referent (Q2)
q_vader_neu,0.2312266894235216,5.628228755785377e-44,0.2312266894235216,Referent (Q2)
q_poly_feature_politeness_==SUBJUNCTIVE==,0.19467616392117992,1.9784403134823785e-31,0.19467616392117992,Referent (Q2)
q_poly_feature_politeness_==Gratitude==,0.19448002783104973,2.2772410093353424e-31,0.19448002783104973,Referent (Q2)
q_poly_feature_politeness_==HASPOSITIVE==,0.17925814944923985,7.93573498778213e-27,0.17925814944923985,Referent (Q2)
q_poly_feature_politeness_==Deference==,0.14334086422533993,1.2400954188560723e-17,0.14334086422533993,Referent (Q2)
q_poly_feature_politeness_==Factuality==,0.14214081598412034,2.3141751494388856e-17,0.14214081598412034,Referent (Q2)
q_vader_neg,0.1364038726534898,4.243893227930822e-16,0.1364038726534898,Referent (Q2)
q_persp_insult,0.1156524184046721,5.770156235038207e-12,0.1156524184046721,Referent (Q2)
q_persp_identity_attack,0.104229988654183,5.60135949028923e-10,0.104229988654183,Referent (Q2)
q_poly_feature_politeness_==Please==,0.10125334712200129,1.7096945552715004e-09,0.10125334712200129,Referent (Q2)
q_poly_feature_politeness_==INDICATIVE==,0.08598060588880078,3.204191029890378e-07,0.08598060588880078,Referent (Q2)
q_poly_feature_politeness_==1st_person_pl.==,0.08224973825919783,1.016206716019259e-06,0.08224973825919783,Referent (Q2)
q_persp_toxicity,0.07316776480696946,1.3791850464837523e-05,0.07316776480696946,Referent (Q2)
q_persp_flirtation,0.07170126231860174,2.0461739103535423e-05,0.07170126231860174,Referent (Q2)
q_poly_feature_politeness_==HASHEDGE==,0.06429133359091502,0.00013421116085934767,0.06429133359091502,Referent (Q2)
q_poly_feature_politeness_==Hedges==,0.057326397822499285,0.0006635992308971415,0.057326397822499285,Referent (Q2)
q_persp_profanity,0.05519197220217819,0.0010482441434266155,0.05519197220217819,Referent (Q2)
q_vader_compound,0.042437549751180165,0.011764989466646714,0.042437549751180165,Referent (Q2)
q_persp_threat,0.03960056864526422,0.018744465954501188,0.03960056864526422,Referent (Q2)
q_poly_feature_politeness_==HASNEGATIVE==,0.0335699892322478,0.046327558436840194,0.0335699892322478,Referent (Q2)
q_tb_polarity,0.031202017703536013,0.06405667637445937,0.031202017703536013,Referent (Q2)
q_persp_severe_toxicity,0.026829777898955156,0.11133992553194035,0.026829777898955156,Referent (Q2)
q_has_url,0.02664905248163849,0.11377051218054371,0.02664905248163849,Referent (Q2)
q_poly_feature_politeness_==Please_start==,0.026494654040777638,0.11587994044806761,0.026494654040777638,Referent (Q2)
q_persp_sexually_explicit,-0.02615734241938691,0.12059520540274993,0.02615734241938691,Referent (Q2)
q_poly_feature_politeness_==Indirect_(btw)==,0.025521869448044115,0.1298848241334297,0.025521869448044115,Referent (Q2)
q_tb_subjectivity,0.023347119738881303,0.16591118028742802,0.023347119738881303,Referent (Q2)
q_poly_feature_politeness_==2nd_person_start==,0.018854965970056165,0.2632099970470041,0.018854965970056165,Referent (Q2)
q_poly_feature_politeness_==1st_person_start==,-0.01775704514173587,0.2920312504008331,0.01775704514173587,Referent (Q2)
q_poly_feature_politeness_==Direct_start==,-0.014476747972304688,0.39033747860770085,0.014476747972304688,Referent (Q2)
q_poly_feature_politeness_==Direct_question==,-0.012482440237180814,0.45889992896464415,0.012482440237180814,Referent (Q2)
q_has_sig,-0.012326972479544628,0.46451414695240745,0.012326972479544628,Referent (Q2)
