moderator,mod_type,DV,beta_D,beta_DxM,boot_mean,boot_SE,CI_lo,CI_hi,sig
M5: Referent (Q2),binary,active_days_30d,0.13500746412245312,-0.2895864962934937,-0.2832349726691598,0.10768680762091073,-0.486160559026998,-0.07654521538327301,True
M5: Referent (Q2),binary,unique_namespace_14d,0.031365567346281986,-0.034104391121335766,-0.03390621152426085,0.024699304471644118,-0.08321492229284658,0.014924433299177552,False
M5: Referent (Q2),binary,reverted_any_14d,0.006780543218503993,-0.012251267634079386,-0.011631902033236191,0.011076945166146792,-0.03423650662027026,0.009763580208492353,False
M6: Appraisal (Q3),binary,1+_mainspace_edit_14d,0.015426028946485829,0.018044514883740818,0.01916459277036475,0.024372402047663968,-0.02695335532358538,0.06786826573151246,False
M6: Appraisal (Q3),binary,n_mainspace_edits_14d,0.4930823028567084,0.39168234633218163,0.2675039245357041,2.0215223012540564,-3.763367088249706,3.5557816468565604,False
M6: Appraisal (Q3),binary,active_days_30d,0.08607636331422575,0.2240519111446328,0.2306747198246048,0.19944283083291947,-0.14086984990529222,0.6081155335514621,False
M6: Appraisal (Q3),binary,unique_namespace_14d,0.029050027339307227,-0.03254001399401777,-0.032379083828968695,0.052959954440567246,-0.13699947108841778,0.07038856063138146,False
M6: Appraisal (Q3),binary,reverted_any_14d,0.006914557364274643,-0.028899070721198017,-0.02835876057237959,0.017661817454333904,-0.060394100451579606,0.0034015331414233956,False
M7: Normative (Q4),binary,1+_mainspace_edit_14d,0.015772848737192077,-0.0015604550261448262,-0.0014866407539877455,0.014976316003812126,-0.029622661101902367,0.026377022195844015,False
M7: Normative (Q4),binary,n_mainspace_edits_14d,0.32532917504419956,1.0866051031255002,1.1466655281322515,1.305172546195941,-1.7166172278461995,3.557236433417697,False
M7: Normative (Q4),binary,active_days_30d,0.09870056275545813,-0.03438523722545995,-0.03232529560459705,0.1377042290573288,-0.30271863304472635,0.2402045142277483,False
M7: Normative (Q4),binary,unique_namespace_14d,0.026175950043068885,-0.0036458613264764815,-0.0025914708704523467,0.02936510666004897,-0.060719308337471474,0.05374265307610476,False
M7: Normative (Q4),binary,reverted_any_14d,0.004488446777440022,0.002809913235294793,0.003577864385932598,0.011578924937154837,-0.01976122769953729,0.02671398290960177,False
M8: Pure technical,binary,1+_mainspace_edit_14d,0.015487488566521115,0.002483269812800811,0.003193881818000378,0.009821194623012099,-0.01698732171413453,0.021092526489225757,False
M8: Pure technical,binary,n_mainspace_edits_14d,0.6622531528916245,-0.32844049431756195,-0.30301726586627026,0.7541479932562354,-1.7667330630483196,1.1726918111536393,False
M8: Pure technical,binary,active_days_30d,0.08480040821536972,0.033783883354450296,0.03621119612758794,0.0796838921055194,-0.12308620255488298,0.18253948595348835,False
M8: Pure technical,binary,unique_namespace_14d,0.025625291193413308,0.003986644922664808,0.004519591117002421,0.01801383421035402,-0.031624188067813495,0.04060521920332435,False
M8: Pure technical,binary,reverted_any_14d,0.004453693230495135,0.001966165531816773,0.0016020476622090709,0.007888215905817843,-0.0135753515508893,0.01641653584743251,False
